game_id,team_name,team_id,type,record,abb,firstdowns_no,firstdowns_rush,firstdowns_pass,firstdowns_penalty,penalties_no,penalties_yds,conversions_thirdconv,conversions_thirdatt,conversions_fourthconv,conversions_fourthatt,fumbles_no,fumbles_lost,misc_yds,misc_top,misc_ona,misc_onm,misc_ptsto,redzone_att,redzone_scores,redzone_points,redzone_tdrush,redzone_tdpass,redzone_fgmade,redzone_endfga,redzone_enddowns,redzone_endint,redzone_endfumb,redzone_endhalf,redzone_endgame,rush_att,rush_yds,rush_gain,rush_loss,rush_td,rush_long,pass_comp,pass_att,pass_int,pass_yds,pass_td,pass_long,pass_sacks,pass_sackyds,rcv_no,rcv_yds,rcv_td,rcv_long,punt_no,punt_yds,punt_long,punt_blkd,punt_tb,punt_fc,punt_plus50,punt_inside20,punt_avg,ko_no,ko_yds,ko_ob,ko_tb,ko_fcyds,pat_kickatt,pat_kickmade,pat_passatt,pat_passmade,pat_rcvatt,pat_rcvmade,defense_tackua,defense_tacka,defense_tot_tack,defense_tflua,defense_tfla,defense_tflyds,defense_sacks,defense_sackyds,defense_brup,defense_blkd,defense_int,defense_intyds,kr_no,kr_yds,kr_td,kr_long,ir_no,ir_yds,ir_td,ir_long,scoring_td,scoring_patkick,scoring_patrcv,fg_made,fg_att,fg_long,fg_blkd,defense_saf,pr_no,pr_yds,pr_td,pr_long,scoring_saf,defense_ff,defense_fr,defense_fryds,fr_no,fr_yds,fr_td,fr_long,pat_retkatt,pat_retkmade,scoring_fg,pat_retfatt,pat_retfmade,scoring_patretfumb,pat_rushatt,pat_rushmade,scoring_patrush,defense_qbh,scoring_patretkick,rank
2021_11_BT_PW,Berlin Thunder,BT,away,2-7-0,B,12,3,4,5,8,55,1,14,1,1,1,0,0,23:19,0,0,0,1,1,6,1,0,0,0,0,0,0,0,0,22,27,67,40,1,16,9,28,2,150,1,74,4,4,9,154,1,74,10,327,48,0,0,2,0,2,32.7,3,86,1,0,0,NA,NA,2,0,NA,NA,45,40,85,4,0,27,3,26,2,1,NA,NA,8,172,0,39,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_11_BT_PW,Panthers Wroclaw,PW,home,5-4-0,P,26,8,16,2,6,84,5,16,1,3,2,1,2,36:41,0,0,6,7,6,32,1,3,2,0,1,0,0,0,0,31,128,139,11,1,15,33,53,0,316,3,35,3,26,33,342,3,35,3,110,45,0,1,0,0,3,36.7,8,485,0,1,0,4,2,NA,NA,NA,NA,25,24,49,5,4,17,4,4,6,NA,2,13,1,15,0,15,2,13,0,13,4,2,NA,3,3,44,0,NA,3,33,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_11_LK_HD,Leipzig Kings,LK,away,7-2,L,18,8,10,0,9,91,7,13,1,1,1,1,0,32:37,0,0,0,2,2,12,0,2,0,0,0,0,0,0,0,28,134,147,13,1,26,19,29,1,148,2,19,3,27,19,175,2,19,4,176,46,0,0,0,0,2,44.0,4,254,0,1,0,1,0,1,0,NA,NA,23,28,51,3,0,18,2,10,2,NA,NA,NA,2,34,0,19,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,13,0,11,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
2021_11_LK_HD,Hamburg Sea Devils,HD,home,4-4,H,13,7,4,2,10,77,3,9,0,1,1,1,0,27:23,0,0,7,3,2,14,1,1,0,0,0,0,1,0,0,30,161,182,21,1,33,8,17,0,60,1,25,2,10,8,70,1,25,3,131,47,0,0,0,0,0,43.7,4,253,0,2,0,2,2,NA,NA,NA,NA,30,34,64,3,10,37,3,27,6,NA,1,27,3,81,0,31,1,27,0,27,2,2,NA,1,3,59,0,NA,2,36,0,21,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_12_BT_SS,Berlin Thunder,BT,away,3-7,B,16,10,6,0,11,85,2,10,1,3,0,0,0,25:51,0,0,12,2,2,14,1,1,0,0,0,0,0,0,0,31,292,307,15,3,65,10,19,1,81,1,24,1,3,10,84,1,24,2,56,30,0,0,0,0,1,28.0,7,357,0,1,0,4,2,2,0,NA,NA,32,36,68,6,2,54,7,54,4,2,1,15,1,5,0,5,1,15,0,15,6,2,NA,0,2,0,1,NA,4,73,1,32,NA,1,2,21,1,21,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_12_BT_SS,Stuttgart Surge,SS,home,2-8,S,15,3,8,4,7,50,3,14,1,3,2,2,26,34:09,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23,28,51,23,0,6,19,36,1,107,0,29,7,54,19,161,0,29,8,217,54,2,1,0,1,0,27.1,1,53,0,0,0,NA,NA,NA,NA,NA,NA,23,30,53,1,6,16,1,3,3,2,1,0,6,80,0,22,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA
2021_12_PW_LK,Panthers Wroclaw,PW,away,6-4-0,P,18,8,9,1,7,81,5,11,0,0,2,2,0,25:35,0,0,7,4,3,21,2,1,0,0,0,0,1,0,0,27,129,134,5,2,26,16,27,0,160,1,45,0,0,16,160,1,45,3,109,44,0,0,0,0,0,36.3,4,214,0,0,0,3,3,NA,NA,NA,NA,25,46,71,4,2,31,4,24,5,NA,1,34,2,15,0,15,1,34,0,34,3,3,NA,0,1,0,0,NA,2,25,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2021_12_PW_LK,Leipzig Kings,LK,home,5-5-0,L,18,6,8,4,13,110,5,13,1,2,0,0,0,34:25,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,25,138,138,0,0,16,18,29,1,140,2,28,4,24,18,164,2,28,5,170,50,0,1,0,1,0,34.0,3,108,1,0,0,2,1,NA,NA,NA,NA,17,44,61,2,0,4,0,0,1,NA,NA,NA,4,68,0,38,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,-3,0,1,NA,NA,2,22,1,22,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2021_12_CC_FG,Cologne Centurions,CC,away,5-4-0,C,15,11,2,2,10,68,6,13,0,3,0,0,0,30:45,0,0,0,2,1,7,1,0,0,0,0,1,0,0,0,35,172,177,5,1,21,6,19,2,77,0,35,1,4,6,81,0,35,4,151,53,0,0,0,1,1,37.8,2,124,0,0,0,1,1,NA,NA,NA,NA,35,28,63,3,4,7,1,1,NA,NA,NA,NA,6,140,0,38,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_12_CC_FG,Frankfurt Galaxy,FG,home,8-1-0,F,28,8,15,5,3,37,7,9,0,0,0,0,0,29:15,0,0,6,6,6,39,2,4,0,0,0,0,0,0,0,29,115,121,6,2,13,23,33,0,254,4,27,1,1,23,255,4,27,2,95,53,0,1,1,1,0,47.5,8,497,0,2,0,7,3,NA,NA,NA,NA,31,26,57,2,6,9,1,4,3,NA,2,15,2,114,1,99,2,15,0,12,7,3,NA,NA,NA,NA,NA,NA,2,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
